run,gen,filename,alpha,mu,vol
1,4,258_73_111110,1231.342172,6.927000,1460.938233
1,4,338_490_010001,698.582726,17.850000,830.543166
1,4,73_480_110011,965.748478,21.813000,1150.392340
1,4,73_430_010101,991.989470,9.053000,1182.008384
1,4,258_474_111110,438.313167,10.567000,532.151452
1,4,885_728_111000,738.298940,30.009000,900.687256
1,4,479_267_111000,657.903492,4.895000,805.575398
1,4,146_73_100000,630.368496,19.716000,781.251095
1,4,1161_173_111000,563.468502,4.322000,720.205105
1,5,479_1036_100000,825.645842,6.365000,916.522428
1,5,479_304_100000,812.448447,12.160000,902.041661
1,5,479_480_100000,834.054355,7.390000,933.079380
1,5,479_882_001001,789.176179,19.695000,887.238981
1,5,479_173_100000,810.821571,8.542000,912.087334
1,5,263_882_100000,932.441644,41.274000,1056.141755
1,5,479_1046_010010,776.698688,12.469000,878.971344
1,5,479_480_101000,820.169011,15.336000,929.414612
1,5,263_480_100000,948.039806,25.353000,1077.462276
1,5,263_882_001001,879.879206,36.335000,1002.491378
1,5,479_393_100000,825.694914,14.327000,940.107343
1,5,263_882_011100,827.801329,20.916000,948.897634
1,5,263_480_000101,911.237071,27.165000,1044.923986
1,5,479_173_101000,773.360986,24.639000,887.635729
1,5,479_480_111000,806.249371,22.127000,925.730113
1,5,479_480_010011,806.308771,21.255000,925.819759
1,5,479_480_011001,806.231453,23.421000,925.811365
1,5,479_392_010010,964.160002,15.376000,1109.311823
1,5,479_62_100000,890.594835,10.593000,1028.338474
1,5,263_480_111000,874.538517,25.719000,1012.349017
1,5,263_480_011100,874.529883,24.567000,1012.372963
1,5,263_480_010011,874.474382,19.392000,1012.304003
1,5,190_1046_010101,722.266544,5.877000,836.187527
1,5,479_879_011001,1308.684163,8.205000,1515.700411
1,5,190_392_010010,938.582667,19.963000,1089.326143
1,5,479_480_011110,792.246220,22.592000,922.056082
1,5,73_490_110110,1009.599715,8.022000,1175.750254
1,5,73_304_101110,880.009253,8.565000,1026.239015
1,5,263_480_110110,837.885838,29.702000,979.924510
1,5,263_944_111000,849.606841,14.658000,1005.231336
1,5,73_480_110110,965.817765,7.056000,1150.208397
1,5,335_304_100000,509.744787,25.412000,627.248876
1,6,1188_1036_111000,772.004929,10.010000,850.774474
1,6,479_304_000010,812.627194,26.271000,902.105380
1,6,479_1036_100000,825.645842,6.365000,916.522428
1,6,479_304_100000,812.448447,12.160000,902.041661
1,6,263_1094_001001,956.294124,23.841000,1067.405425
1,6,479_304_101000,777.024181,9.517000,867.369979
1,6,479_1036_100100,802.824095,5.882000,896.202464
1,6,479_480_100000,834.054355,7.390000,933.079380
1,6,263_36_000101,921.143871,17.029000,1034.789024
1,6,479_882_001001,789.176179,19.695000,887.238981
1,6,479_173_100000,810.821571,8.542000,912.087334
1,6,479_9_100000,817.487316,16.247000,923.261530
1,6,263_882_100000,932.441644,41.274000,1056.141755
1,6,479_1046_010010,776.698688,12.469000,878.971344
1,6,479_480_101000,820.169011,15.336000,929.414612
1,6,263_480_100000,948.039806,25.353000,1077.462276
1,6,263_882_001001,879.879206,36.335000,1002.491378
1,6,479_393_100000,825.694914,14.327000,940.107343
1,6,263_882_010110,827.717624,39.300000,948.813252
1,6,263_882_011100,827.801329,20.916000,948.897634
1,6,263_480_101000,911.320564,25.728000,1044.797726
1,6,263_480_001001,911.233374,27.976000,1044.826312
1,6,263_480_000101,911.237071,27.165000,1044.923986
1,6,479_173_101000,773.360986,24.639000,887.635729
1,6,479_480_111000,806.249371,22.127000,925.730113
1,6,479_480_010011,806.308771,21.255000,925.819759
1,6,263_480_010110,874.589771,28.153000,1012.246631
1,6,66_882_001001,1048.805566,14.197000,1219.357088
1,6,479_480_111101,778.364027,30.550000,918.495209
1,6,770_882_011100,899.376759,10.546000,1069.150035
1,6,1038_480_101000,679.858224,3.401000,855.752965
1,6,263_531_011100,775.224710,7.623000,1002.100265
1,7,1188_1036_111000,772.004929,10.010000,850.774474
1,7,479_1094_100000,856.569481,11.789000,944.406597
1,7,479_304_000010,812.627194,26.271000,902.105380
1,7,479_1036_100000,825.645842,6.365000,916.522428
1,7,479_304_100000,812.448447,12.160000,902.041661
1,7,479_882_000010,818.528154,18.138000,911.839520
1,7,479_882_100000,818.438596,10.903000,911.933575
1,7,263_1094_001001,956.294124,23.841000,1067.405425
1,7,479_304_101000,777.024181,9.517000,867.369979
1,7,479_1036_100100,802.824095,5.882000,896.202464
1,7,479_1036_010010,802.745717,11.038000,896.271766
1,7,479_480_100000,834.054355,7.390000,933.079380
1,7,263_36_000101,921.143871,17.029000,1034.789024
1,7,479_882_001001,789.176179,19.695000,887.238981
1,7,263_67_100000,1052.995074,24.143000,1183.959015
1,7,479_173_000001,810.939711,16.917000,912.216140
1,7,479_173_100000,810.821571,8.542000,912.087334
1,7,263_36_100000,952.521549,19.040000,1072.611398
1,7,479_9_100000,817.487316,16.247000,923.261530
1,7,263_882_100000,932.441644,41.274000,1056.141755
1,7,479_1046_010010,776.698688,12.469000,878.971344
1,7,479_480_101000,820.169011,15.336000,929.414612
1,7,479_882_111000,759.416062,34.928000,862.302910
1,7,263_480_100000,948.039806,25.353000,1077.462276
1,7,263_1042_100000,958.016100,23.022000,1096.422227
1,7,1143_480_100000,691.350692,22.949000,791.926426
1,7,479_480_010101,806.299635,23.147000,925.866378
1,7,263_46_100000,1004.919563,17.388000,1156.203695
1,7,479_784_101000,827.936897,13.347000,966.242667
1,7,479_9_110011,726.252035,12.254000,882.792496
1,7,1137_1036_100000,647.147607,10.257000,787.563909
1,7,462_480_100100,1051.708664,20.716000,1312.833665
1,8,479_1094_110110,882.482761,5.992000,967.145230
1,8,1188_1036_111000,772.004929,10.010000,850.774474
1,8,479_1094_100000,856.569481,11.789000,944.406597
1,8,479_304_000010,812.627194,26.271000,902.105380
1,8,479_304_000001,812.860278,9.421000,902.046146
1,8,479_1036_100000,825.645842,6.365000,916.522428
1,8,479_1036_010000,825.477533,9.893000,916.399436
1,8,479_304_100000,812.448447,12.160000,902.041661
1,8,479_882_000010,818.528154,18.138000,911.839520
1,8,479_882_100000,818.438596,10.903000,911.933575
1,8,263_1094_001001,956.294124,23.841000,1067.405425
1,8,479_304_101000,777.024181,9.517000,867.369979
1,8,479_1036_000011,802.813260,15.107000,896.258097
1,8,479_1036_100100,802.824095,5.882000,896.202464
1,8,479_1036_010010,802.745717,11.038000,896.271766
1,8,479_82_000010,809.870888,15.583000,905.061082
1,8,479_480_100000,834.054355,7.390000,933.079380
1,8,479_1036_110100,780.139919,6.574000,876.032715
1,8,263_36_000101,921.143871,17.029000,1034.789024
1,8,479_882_001001,789.176179,19.695000,887.238981
1,8,263_67_100000,1052.995074,24.143000,1183.959015
1,8,479_173_000001,810.939711,16.917000,912.216140
1,8,479_446_100000,786.275517,8.043000,884.651311
1,8,263_36_000010,952.765846,20.616000,1072.520189
1,8,479_986_100000,819.611933,5.006000,923.317219
1,8,263_882_100000,932.441644,41.274000,1056.141755
1,8,479_882_111000,759.416062,34.928000,862.302910
1,8,1182_1036_100000,649.486969,22.317000,742.198982
1,8,479_173_001001,773.538074,6.676000,887.496065
1,8,479_173_100100,773.271919,10.594000,887.665242
1,8,670_1036_111000,651.746941,16.540000,767.171934
1,8,14_882_000010,648.300634,27.402000,792.337154
1,9,1188_304_100000,798.693626,8.374000,859.787122
1,9,1188_1003_111000,898.686487,9.393000,973.299264
1,9,479_1094_110110,882.482761,5.992000,967.145230
1,9,479_1094_000001,856.818662,27.708000,944.488355
1,9,1188_1036_111000,772.004929,10.010000,850.774474
1,9,1188_1036_010011,771.693888,13.605000,850.815369
1,9,479_1094_100000,856.569481,11.789000,944.406597
1,9,479_304_000010,812.627194,26.271000,902.105380
1,9,479_304_000001,812.860278,9.421000,902.046146
1,9,479_865_000010,795.459567,5.137000,882.701646
1,9,479_1036_100000,825.645842,6.365000,916.522428
1,9,479_1036_010000,825.477533,9.893000,916.399436
1,9,479_304_100000,812.448447,12.160000,902.041661
1,9,479_304_010000,812.355853,2.594000,902.009721
1,9,479_882_000010,818.528154,18.138000,911.839520
1,9,479_882_100000,818.438596,10.903000,911.933575
1,9,263_1094_001001,956.294124,23.841000,1067.405425
1,9,479_304_101000,777.024181,9.517000,867.369979
1,9,479_1036_000011,802.813260,15.107000,896.258097
1,9,479_1036_100100,802.824095,5.882000,896.202464
