run,gen,filename,alpha,mu,vol
1,4,192_71_100011,778.375160,25.588000,962.821218
1,4,317_254_111100,997.369006,27.812000,1226.539529
1,4,960_258_111100,643.023122,19.046000,770.349571
1,4,1174_924_110111,881.379458,14.503000,999.353690
1,4,899_258_100011,601.537199,15.001000,700.611419
1,4,1136_943_101000,966.785563,14.663000,1098.124595
1,4,1125_258_001011,661.722407,19.203000,801.982186
1,4,1003_924_000111,939.631600,7.899000,1047.613846
1,4,681_1141_000111,635.857048,18.639000,780.959198
1,4,544_924_000111,787.538188,15.694000,928.799084
1,4,57_986_111101,673.706828,21.745000,850.685828
1,4,1174_924_000111,830.091338,10.953000,950.815525
1,4,1136_1147_101010,932.460141,7.763000,1052.659822
1,4,1136_1147_101000,988.820922,6.016000,1112.419719
1,4,57_943_111101,698.979248,15.558000,837.868402
1,4,57_986_111100,663.918344,20.074000,832.998519
1,4,1136_1147_100011,936.587750,4.839000,1058.441453
1,4,1136_276_101010,929.224985,15.559000,1097.521169
1,4,176_1147_000111,773.171201,7.046000,886.902458
1,4,507_166_111100,824.471038,6.263000,944.475125
1,4,317_86_100000,876.929003,20.872000,1091.950895
1,4,1125_258_111100,626.149269,14.001000,757.308144
1,4,1136_86_101000,944.520385,5.213000,1096.958030
1,4,822_258_111100,686.898860,12.718000,861.838247
1,5,397_258_000111,1232.117361,62.085000,1474.395274
1,5,507_166_010011,861.076929,35.146000,992.202089
1,5,681_924_000111,856.260040,28.701000,1010.311683
1,5,507_166_100011,861.066165,25.120000,992.154160
1,5,317_166_111100,808.243287,25.297000,946.671187
1,5,317_943_111100,783.492591,27.152000,948.992506
1,5,1136_810_101010,925.428012,17.207000,1037.374776
1,5,1201_943_010110,765.746408,21.100000,902.772341
1,5,317_943_100000,888.054626,27.047000,1092.721080
1,5,192_71_100011,778.375160,25.588000,962.821218
1,5,507_46_010011,1035.290166,28.730000,1273.842552
1,5,317_254_111100,997.369006,27.812000,1226.539529
1,5,960_258_111100,643.023122,19.046000,770.349571
1,5,1201_1200_010110,653.820266,16.986000,768.478326
1,5,1174_924_110111,881.379458,14.503000,999.353690
1,5,899_258_100011,601.537199,15.001000,700.611419
1,5,1136_943_101000,966.785563,14.663000,1098.124595
1,5,1125_258_001011,661.722407,19.203000,801.982186
1,5,1003_924_000111,939.631600,7.899000,1047.613846
1,5,317_254_100011,978.521902,24.671000,1205.070095
1,5,1003_924_111100,928.692853,4.298000,1039.757041
1,5,317_924_000111,914.962523,16.619000,1082.040927
